Alabaster,_Alabama	Alabaster, Alabama	Alabaster	The City for Families
George_West,_Texas	George West, Texas	George West	Storyfest Capital of Texas
Georgetown,_Texas	Georgetown, Texas	Georgetown	Red Poppy Capital of Texas
Gilmer,_Texas	Gilmer, Texas	Gilmer	Home of the Yamboree (refers to 
Glen_Rose,_Texas	Glen Rose, Texas	Glen Rose	Dinosaur Capital of Texas
Gonzales,_Texas	Gonzales, Texas	Gonzales	Lexington of Texas. (The first 
Hamilton,_Texas	Hamilton, Texas	Hamilton	Dove Capital of Texas
Happy,_Texas	Happy, Texas	Happy	The Town Without a Frown
Hawkins,_Texas	Hawkins, Texas	Hawkins	Pancake Capital of Texas
Hearne,_Texas	Hearne, Texas	Hearne	Sunflower Capital of Texas
Hereford,_Texas	Hereford, Texas	Hereford	Town Without a Toothache
Houston	Houston	Houston	- 
Huntsville,_Texas	Huntsville, Texas	Huntsville	Prison City of Texas (the Texas Department of Criminal Justice is headquartered in Huntsville)
Huntsville,_Texas	Huntsville, Texas	Huntsville	Execution Capital of the World/Death Penalty City (Texas' execution chamber is located in Huntsville and Texas often leads all US states in executions per year; death row was located in Huntsville but later relocated)
Hutto,_Texas	Hutto, Texas	Hutto	Hippo Capital of Texas
Jacksonville,_Texas	Jacksonville, Texas	Jacksonville	Tomato Capital of the World
Jefferson,_Texas	Jefferson, Texas	Jefferson	Bed and Breakfast Capital of Texas
Kaufman,_Texas	Kaufman, Texas	Kaufman	Red Tail Hawk Capital
Kenedy,_Texas	Kenedy, Texas	Kenedy	Horned Lizard Capital of Texas
Kenedy,_Texas	Kenedy, Texas	Kenedy	Texas Horned Lizard Capital of the World
Kerrville,_Texas	Kerrville, Texas	Kerrville	Lose Your Heart to the Hills
Kilgore,_Texas	Kilgore, Texas	Kilgore	Texas City of Stars
Kingsville,_Texas	Kingsville, Texas	Kingsville	Gem City of the Southwest
Knox_City,_Texas	Knox City, Texas	Knox City	Seedless Watermelon Capital of Texas
Lake_Jackson,_Texas	Lake Jackson, Texas	Lake Jackson	The City of Enchantment
Llano,_Texas	Llano, Texas	Llano	Deer Capital of Texas
Lockhart,_Texas	Lockhart, Texas	Lockhart	Barbecue Capital of Texas
Longview,_Texas	Longview, Texas	Longview	Purple Martin Capital of Texas
Lubbock,_Texas	Lubbock, Texas	Lubbock	Hub City
Lufkin,_Texas	Lufkin, Texas	Lufkin, Texas	Crossroads of East Texas
Lufkin,_Texas	Lufkin, Texas	Lufkin, Texas	the 936
Lufkin,_Texas	Lufkin, Texas	Lufkin, Texas	L-Town
Madisonville,_Texas	Madisonville, Texas	Madisonville	Mushroom of Texas
Mauriceville,_Texas	Mauriceville, Texas	Mauriceville	Crawfish Capital of Texas 
McAllen,_Texas	McAllen, Texas	McAllen	Square Dance Capital of the World
McAllen,_Texas	McAllen, Texas	McAllen	The Texas Tropics
McCamey,_Texas	McCamey, Texas	McCamey	Wind Energy Capital of Texas
Mesquite,_Texas	Mesquite, Texas	Mesquite	Rodeo Capital of Texas
Midland,_Texas	Midland, Texas	Midland	Ostrich Capital of Texas
Midlothian,_Texas	Midlothian, Texas	Midlothian	Cement and Steel Capital of Texas
Mineola,_Texas	Mineola, Texas	Mineola	Birding capital of East Texas
Mount_Pleasant,_Texas	Mount Pleasant, Texas	Mount Pleasant	Bass Capital of Texas
Nacogdoches,_Texas	Nacogdoches, Texas	Nacogdoches	The oldest Town in Texas
Navasota,_Texas	Navasota, Texas	Navasota	Blues Capital of Texas
Odessa,_Texas	Odessa, Texas	Odessa	Jackrabbit Capital of Texas
Paris,_Texas	Paris, Texas	Paris	Crape Myrtle City
Plano,_Texas	Plano, Texas	Plano	Hot Air Balloon Capital of Texas
Quitman,_Texas	Quitman, Texas	Quitman	Big Bass Capital of Texas
Round_Rock,_Texas	Round Rock, Texas	Round Rock	Daffodil Capital of Texas 
San_Angelo,_Texas	San Angelo, Texas	San Angelo	The End of the Rainbow
San_Angelo,_Texas	San Angelo, Texas	San Angelo	The Oasis of West Texas
San_Angelo,_Texas	San Angelo, Texas	San Angelo	Queen City of Central West Texas
San_Angelo,_Texas	San Angelo, Texas	San Angelo	Texas’ biggest small town
San_Angelo,_Texas	San Angelo, Texas	San Angelo	Wool Capital
San_Antonio,_Texas	San Antonio, Texas	San Antonio	San Antone 
San_Antonio,_Texas	San Antonio, Texas	San Antonio	Something to Remember
Sanderson,_Texas	Sanderson, Texas	Sanderson	Cactus Capital of Texas
Sansom_Park,_Texas	Sansom Park, Texas	Sansom Park	City on the Move
Shenandoah,_Texas	Shenandoah, Texas	Shenandoah	More Than Just a Song
Temple,_Texas	Temple, Texas	Temple	Wildflower Capital of Texas
Terlingua,_Texas	Terlingua, Texas	Terlingua	Chili Capital of the World
Sugar_Land,_Texas	Sugar Land, Texas	Sugar Land	City By the Bay
The_Colony,_Texas	The Colony, Texas	The Colony	City by the Lake
Turkey,_Texas	Turkey, Texas	Turkey	Western Swing Capital of the World
Tyler,_Texas	Tyler, Texas	Tyler	Rose Capital of the World
Victoria,_Texas	Victoria, Texas	Victoria	The Crossroads of South Texas
Waco,_Texas	Waco, Texas	Waco	The Buckle of the Bible Belt
Waxahachie,_Texas	Waxahachie, Texas	Waxahachie	Crape Myrtle Capital of Texas
Weatherford,_Texas	Weatherford, Texas	Weatherford	Peach Capital of Texas 
Weatherford,_Texas	Weatherford, Texas	Weatherford	Watermelon Capital of the World
Weatherford,_Texas	Weatherford, Texas	Weatherford	Cutting horse capital of the world
Weslaco,_Texas	Weslaco, Texas	Weslaco	Citrus Capital of Texas
West,_Texas	West, Texas	West	Czech Heritage Capital of Texas
West_Tawakoni,_Texas	West Tawakoni, Texas	West Tawakoni	Catfish Capital of Texas
Wills_Point,_Texas	Wills Point, Texas	Wills Point	Bluebird Capital of Texas
Anchorage,_Alaska	Anchorage, Alaska	Anchorage	The City of Lights and Flowers (or City of Lights)
Anchorage,_Alaska	Anchorage, Alaska	Anchorage	Air Crossroads of the World
Anchorage,_Alaska	Anchorage, Alaska	Anchorage	Anchortown
Anchorage,_Alaska	Anchorage, Alaska	Anchorage	Hanging Basket Capital of the World
Cordova,_Alaska	Cordova, Alaska	Cordova	Clam Town
Cordova,_Alaska	Cordova, Alaska	Cordova	Razor Clam Capital
Fairbanks,_Alaska	Fairbanks, Alaska	Fairbanks	The Golden Heart City
Haines,_Alaska	Haines, Alaska	Haines	Eagle Capital of America
Homer,_Alaska	Homer, Alaska	Homer	Halibut Capital of the world
Juneau,_Alaska	Juneau, Alaska	Juneau	New York of Alaska
Juneau,_Alaska	Juneau, Alaska	Juneau	America's Largest Capital Area
Juneau,_Alaska	Juneau, Alaska	Juneau	City of Best
Kenai,_Alaska	Kenai, Alaska	Kenai	The Village With a Past, the City With a Future
Ketchikan,_Alaska	Ketchikan, Alaska	Ketchikan	King Salmon Capital of the World
Knik,_Alaska	Knik, Alaska	Knik	Dog-mushing Center of the World
Kodiak,_Alaska	Kodiak, Alaska	Kodiak	King Crab Capital
Sitka,_Alaska	Sitka, Alaska	Sitka	First City of Alaska
Sitka,_Alaska	Sitka, Alaska	Sitka	The Natural Place to Visit
Apache_Junction,_Arizona	Apache Junction, Arizona	Apache Junction	Home of the Superstition Mountains
Apache_Junction,_Arizona	Apache Junction, Arizona	Apache Junction	Gateway to Legends, Lakes, Leisure, and Lost Treasure
Ash_Fork,_Arizona	Ash Fork, Arizona	Ash Fork	Flagstone Capital of the United States
Chandler,_Arizona	Chandler, Arizona	Chandler	High-Tech Oasis of the Silicon Desert
Flagstaff,_Arizona	Flagstaff, Arizona	Flagstaff	City in the Pines
Flagstaff,_Arizona	Flagstaff, Arizona	Flagstaff	City of Seven Wonders
Flagstaff,_Arizona	Flagstaff, Arizona	Flagstaff	The Staff
Flagstaff,_Arizona	Flagstaff, Arizona	Flagstaff	Flag Town (C. W. McCall)
Jerome,_Arizona	Jerome, Arizona	Jerome	America’s Most Vertical City
Kingman,_Arizona	Kingman, Arizona	Kingman	Heart of Route 66
Phoenix,_Arizona	Phoenix, Arizona	Phoenix	Arizona's Urban Heart
Phoenix,_Arizona	Phoenix, Arizona	Phoenix	Valley of the Sun
Prescott,_Arizona	Prescott, Arizona	Prescott	The Mile-High City
Scottsdale,_Arizona	Scottsdale, Arizona	Scottsdale	The West's Most Western Town
Sedona,_Arizona	Sedona, Arizona	Sedona	Red Rock Country
Show_Low,_Arizona	Show Low, Arizona	Show Low	Named for the Turn of a Card 
Sierra_Vista,_Arizona	Sierra Vista, Arizona	Sierra Vista	Hummingbird Capital of the United States
Tombstone,_Arizona	Tombstone, Arizona	Tombstone	The Town Too Tough To Die
Tucson,_Arizona	Tucson, Arizona	Tucson	The Old Pueblo
Tucson,_Arizona	Tucson, Arizona	Tucson	The Sunshine Factory
Wickenburg,_Arizona	Wickenburg, Arizona	Wickenburg	The Dude Ranch Capital of the World
Yuma,_Arizona	Yuma, Arizona	Yuma	Experience Our Sense of Yuma
Alma,_Arkansas	Alma, Arkansas	Alma	Spinach Capital of the World
Berryville,_Arkansas	Berryville, Arkansas	Berryville	Turkey Capital
Brinkley,_Arkansas	Brinkley, Arkansas	Brinkley	Home of the 
Conway,_Arkansas	Conway, Arkansas	Conway	The City of Colleges (The University of Central Arkansas, Hendrix College, and Central Baptist College)
Dumas,_Arkansas	Dumas, Arkansas	Dumas	Home of the Ding Dong Daddy 
El_Dorado,_Arkansas	El Dorado, Arkansas	El Dorado	Arkansas' Original Boomtown
Emerson,_Arkansas	Emerson, Arkansas	Emerson	The Biggest Little Town in Arkansas 
Fayetteville,_Arkansas	Fayetteville, Arkansas	Fayetteville	Hog Country
Fayetteville,_Arkansas	Fayetteville, Arkansas	Fayetteville	Track Capital of the World
Green_Forest,_Arkansas	Green Forest, Arkansas	Green Forest	Tomato Capital
Hope,_Arkansas	Hope, Arkansas	Hope	Watermelon Capital of the World
Hot_Springs,_Arkansas	Hot Springs, Arkansas	Hot Springs	Spa City
Jasper,_Arkansas	Jasper, Arkansas	Jasper	Elk Capital of Arkansas
Jonesboro,_Arkansas	Jonesboro, Arkansas	Jonesboro	The City of Churches
Jonesboro,_Arkansas	Jonesboro, Arkansas	Jonesboro	The Crepe Myrtle City
Little_Rock,_Arkansas	Little Rock, Arkansas	Little Rock	The City of Roses
Little_Rock,_Arkansas	Little Rock, Arkansas	Little Rock	River City
Lowell,_Arkansas	Lowell, Arkansas	Lowell	A Town with a Past, A City with a Future
Malvern,_Arkansas	Malvern, Arkansas	Malvern	Brick Capital of the World
Mount_Ida,_Arkansas	Mount Ida, Arkansas	Mount Ida	Quartz Crystal Capital of the World
Mountain_View,_Arkansas	Mountain View, Arkansas	Mountain View	Folk Music Capital of the World
Nashville,_Arkansas	Nashville, Arkansas	Nashville	Peach Capital
Stuttgart,_Arkansas	Stuttgart, Arkansas	Stuttgart	Rice and Duck Capital of the World
Siloam_Springs,_Arkansas	Siloam Springs, Arkansas	Siloam Springs	City of fountains and parks and bridges
Texarkana,_Arkansas	Texarkana, Arkansas	Texarkana	Twice as Nice
Berlin,_Connecticut	Berlin, Connecticut	Berlin	Geographic Center of Connecticut
Bethlehem,_Connecticut	Bethlehem, Connecticut	Bethlehem	The Christmas Town
Bridgeport,_Connecticut	Bridgeport, Connecticut	Bridgeport	The Park City
Bristol,_Connecticut	Bristol, Connecticut	Bristol	Clock City
Cheshire,_Connecticut	Cheshire, Connecticut	Cheshire	Bedding Plant Capital of Connecticut
Danbury,_Connecticut	Danbury, Connecticut	Danbury	Hat City
Derby,_Connecticut	Derby, Connecticut	Derby	Connecticut's Smallest City 
Groton,_Connecticut	Groton, Connecticut	Groton	The Submarine Capital of The World
Hamden,_Connecticut	Hamden, Connecticut	Hamden	Land of the Sleeping Giant 
Hartford,_Connecticut	Hartford, Connecticut	Hartford	Insurance Capital of the World 
Hartford,_Connecticut	Hartford, Connecticut	Hartford	Insurance City
Manchester,_Connecticut	Manchester, Connecticut	Manchester	Silk City 
Meriden,_Connecticut	Meriden, Connecticut	Meriden	Silver City 
Middletown,_Connecticut	Middletown, Connecticut	Middletown	Forest City
Naugatuck,_Connecticut	Naugatuck, Connecticut	Naugatuck	Rubber City 
New_Britain,_Connecticut	New Britain, Connecticut	New Britain	Hardware City
New_Britain,_Connecticut	New Britain, Connecticut	New Britain	Hard-hittin' New Britain
New_Haven,_Connecticut	New Haven, Connecticut	New Haven	The Elm City
New_London,_Connecticut	New London, Connecticut	New London	The Whaling City
Norwich,_Connecticut	Norwich, Connecticut	Norwich	Rose City 
Stamford,_Connecticut	Stamford, Connecticut	Stamford	Lock City (a reference to the now-defunct Yale &amp; Towne lock factory)
Stamford,_Connecticut	Stamford, Connecticut	Stamford	"The City that Works!"
Waterbury,_Connecticut	Waterbury, Connecticut	Waterbury	The Brass City 
West_Haven,_Connecticut	West Haven, Connecticut	West Haven	Connecticut's Friendliest City
Willimantic,_Connecticut	Willimantic, Connecticut	Willimantic	Thread City 
Bethany_Beach,_Delaware	Bethany Beach, Delaware	Fenwick Island	The Quiet Resorts
Dover,_Delaware	Dover, Delaware	Dover	The City that Means Well (according to George Carlin)
Lewes,_Delaware	Lewes, Delaware	Lewes	First Town in the First State
Rehoboth_Beach,_Delaware	Rehoboth Beach, Delaware	Rehoboth Beach	The Nation's Summer Capital
Seaford,_Delaware	Seaford, Delaware	Seaford	The Nylon Capital of the World
Wilmington,_Delaware	Wilmington, Delaware	Wilmington	Chemical Capital of the World
Abbeville,_Georgia	Abbeville, Georgia	Abbeville	Wild Hog Capital of Georgia
Ashburn,_Georgia	Ashburn, Georgia	Ashburn	Peanut Capital of the World
Athens,_Georgia	Athens, Georgia	Athens	The Classic City
Atlanta	Atlanta	Atlanta	A-Town
Atlanta	Atlanta	Atlanta	The Big A
Atlanta	Atlanta	Atlanta	ATL or the ATL
Atlanta	Atlanta	Atlanta	The Big Peach
Atlanta	Atlanta	Atlanta	City of Peace
Atlanta	Atlanta	Atlanta	City of Trees
Atlanta	Atlanta	Atlanta	The City Too Busy to Hate 
Atlanta	Atlanta	Atlanta	Dogwood City
Atlanta	Atlanta	Atlanta	Hotlanta
Atlanta	Atlanta	Atlanta	New York of the South
Blakely,_Georgia	Blakely, Georgia	Blakely	Peanut Capital of the World
Canon,_Georgia	Canon, Georgia	Canon	The Big Gun
Claxton,_Georgia	Claxton, Georgia	Claxton	Fruitcake Capital of the World
Colquitt,_Georgia	Colquitt, Georgia	Colquitt	Mayhaw Capital of the World
Cordele,_Georgia	Cordele, Georgia	Cordele	Watermelon Capital of the World
Dalton,_Georgia	Dalton, Georgia	Dalton	Carpet Capital of the World
Dawson,_Georgia	Dawson, Georgia	Dawson	Spanish Peanut Capital of the World
Elberton,_Georgia	Elberton, Georgia	Elberton	The Granite City
Ellijay,_Georgia	Ellijay, Georgia	Ellijay	Georgia's Apple Capital
Fort_Valley,_Georgia	Fort Valley, Georgia	Fort Valley	Peach Capital of Georgia
Gainesville,_Georgia	Gainesville, Georgia	Gainesville	Poultry Capital of the World
Griffin,_Georgia	Griffin, Georgia	Griffin	Iris City
Kennesaw,_Georgia	Kennesaw, Georgia	Kennesaw	K-town, Home of Wild Man, Land of Ulrich
Lithonia,_Georgia	Lithonia, Georgia	Lithonia	City of Granite
Macon,_Georgia	Macon, Georgia	Macon	Cherry Blossom Capital of the World
Metter,_Georgia	Metter, Georgia	Metter	Everything's Better in Metter 
Nashville,_Georgia	Nashville, Georgia	Nashville	City of Dogwoods
Newnan,_Georgia	Newnan, Georgia	Newnan	City of Homes
Powder_Springs,_Georgia	Powder Springs, Georgia	Powder Springs	P-Town
Sandersville,_Georgia	Sandersville, Georgia	Sandersville	Kaolin Capital of the World
Savannah,_Georgia	Savannah, Georgia	Savannah	Turf Grass Capital of the World
Sylvester,_Georgia	Sylvester, Georgia	Sylvester	-The Peanut Capital of the World
Valdosta,_Georgia	Valdosta, Georgia	Valdosta	-TitleTown, USA
Vidalia,_Georgia	Vidalia, Georgia	Vidalia	Sweet Onion Capital of the World
Warner_Robins,_Georgia	Warner Robins, Georgia	Warner Robins	Georgia's International City
Warwick,_Georgia	Warwick, Georgia	Warwick	The 
Waynesboro,_Georgia	Waynesboro, Georgia	Waynesboro	Bird Dog Capital of the World
Honolulu,_Hawaii	Honolulu, Hawaii	Honolulu	The Big Pineapple
Ashton,_Idaho	Ashton, Idaho	Ashton	Seed Potato Capital
Blackfoot,_Idaho	Blackfoot, Idaho	Blackfoot	Potato Capital of the World
Boise,_Idaho	Boise, Idaho	Boise	City of Trees
Buhl,_Idaho	Buhl, Idaho	Buhl	Trout Capitol
Idaho_Falls,_Idaho	Idaho Falls, Idaho	Idaho Falls, Idaho	I.F
Pocatello,_Idaho	Pocatello, Idaho	Pocatello	Poky
Rexburg,_Idaho	Rexburg, Idaho	Rexburg, Idaho	Iceburg
Spencer,_Idaho	Spencer, Idaho	Spencer	Opal Capital of the World
Wallace,_Idaho	Wallace, Idaho	Wallace	Silver Capital of the World
Algona,_Iowa	Algona, Iowa	Algona	Home of the World’s Largest 
Cedar_Rapids,_Iowa	Cedar Rapids, Iowa	Cedar Rapids	The City of Five Seasons
Des_Moines,_Iowa	Des Moines, Iowa	Des Moines	Hartford of the West
Dyersville,_Iowa	Dyersville, Iowa	Dyersville	Farm Toy Capital of the World 
Emmetsburg,_Iowa	Emmetsburg, Iowa	Emmetsburg	Iowa's Irish Capital 
Fort_Dodge,_Iowa	Fort Dodge, Iowa	Fort Dodge	Mineral City 
Grinnell,_Iowa	Grinnell, Iowa	Grinnell	Jewel of the Prairie 
Keokuk,_Iowa	Keokuk, Iowa	Keokuk	Gate City (reported in the 1880s)
Le_Mars,_Iowa	Le Mars, Iowa	Le Mars	Ice Cream Capital of the World
Sioux_City,_Iowa	Sioux City, Iowa	Sioux City	Little Chicago
Villisca,_Iowa	Villisca, Iowa	Villisca	Living With a Mystery
Andover,_Kansas	Andover, Kansas	Andover	Where the People are Warm Even When the Weather Isn't
Baxter_Springs,_Kansas	Baxter Springs, Kansas	Baxter Springs	First cowtown in Kansas
Beattie,_Kansas	Beattie, Kansas	Beattie	
Cassoday,_Kansas	Cassoday, Kansas	Cassoday	
Cawker_City,_Kansas	Cawker City, Kansas	Cawker City	Home of the World's Largest Ball of Twine
Dodge_City,_Kansas	Dodge City, Kansas	Dodge City	Queen of the Cowtowns
Dodge_City,_Kansas	Dodge City, Kansas	Dodge City	The Wickedest Little City in America
Garden_City,_Kansas	Garden City, Kansas	Garden City	Cutting Horse Capital
Girard,_Kansas	Girard, Kansas	Girard	Printing Capital of the Nation
Haysville,_Kansas	Haysville, Kansas	Haysville	Peach Capital of Kansas
Hutchinson,_Kansas	Hutchinson, Kansas	Hutchinson	HutchinFUN!
Jennings,_Kansas	Jennings, Kansas	Jennings	Czech Us Out
Kansas_City,_Kansas	Kansas City, Kansas	Kansas City	KCK
Kansas_City,_Kansas	Kansas City, Kansas	Kansas City	Heart of America
Kirwin,_Kansas	Kirwin, Kansas	Kirwin	Goose Capital
La_Crosse,_Kansas	La Crosse, Kansas	La Crosse	
Lansing,_Kansas	Lansing, Kansas	Lansing	City With a Future
Lawrence,_Kansas	Lawrence, Kansas	Lawrence	River City
Lenexa,_Kansas	Lenexa, Kansas	Lenexa	Spinach Capital
Leoti,_Kansas	Leoti, Kansas	Leoti	Pinto Bean Capital
Liberal,_Kansas	Liberal, Kansas	Liberal	The Land of Oz
Lindsborg,_Kansas	Lindsborg, Kansas	Lindsborg	Little Sweden
Manhattan,_Kansas	Manhattan, Kansas	Manhattan	The Little Apple
Marysville,_Kansas	Marysville, Kansas	Marysville	Black Squirrel Capital
Norton,_Kansas	Norton, Kansas	Norton	
Olathe,_Kansas	Olathe, Kansas	Olathe	Cowboy Boot Capital
Parsons,_Kansas	Parsons, Kansas	Parsons	
Pittsburg,_Kansas	Pittsburg, Kansas	Pittsburg	Fried Chicken Capital
Quinter,_Kansas	Quinter, Kansas	Quinter	Half Mile High City
Russell_Springs,_Kansas	Russell Springs, Kansas	Russell Springs	Cow Chip Capital of Kansas
Salina,_Kansas	Salina, Kansas	Salina	Smoky Hill River City
Salina,_Kansas	Salina, Kansas	Salina	Heart of Kansas
Wellington,_Kansas	Wellington, Kansas	Wellington	Wheat Capital of the World
Wichita,_Kansas	Wichita, Kansas	Wichita	Air Capital of the World
Wichita,_Kansas	Wichita, Kansas	Wichita	The Emerald City
Wilson,_Kansas	Wilson, Kansas	Wilson	Czech Capital of Kansas
Windom,_Kansas	Windom, Kansas	Windom	Covered Dish Capital of the World
Bardstown,_Kentucky	Bardstown, Kentucky	Bardstown	Bourbon Capital of the World
Berea,_Kentucky	Berea, Kentucky	Berea	Folk Arts and Crafts Capital of Kentucky
Bowling_Green,_Kentucky	Bowling Green, Kentucky	Bowling Green	Vette City
Bowling_Green,_Kentucky	Bowling Green, Kentucky	Bowling Green	The Park City
Covington,_Kentucky	Covington, Kentucky	Covington	Gateway to the South
Crestwood,_Kentucky	Crestwood, Kentucky	Crestwood	Whiskers
Danville,_Kentucky	Danville, Kentucky	Danville	City of Firsts
Elizabethtown,_Kentucky	Elizabethtown, Kentucky	Elizabethtown	E Town
Hopkinsville,_Kentucky	Hopkinsville, Kentucky	Hopkinsville	Hoptown
Lexington,_Kentucky	Lexington, Kentucky	Lexington	Horse Capital of the World
Louisville,_Kentucky	Louisville, Kentucky	Louisville	City of Beautiful Churches 
Louisville,_Kentucky	Louisville, Kentucky	Louisville	Derby City
Louisville,_Kentucky	Louisville, Kentucky	Louisville	The Fall City (reported in the 1880s)
Louisville,_Kentucky	Louisville, Kentucky	Louisville	Gateway to the South
Louisville,_Kentucky	Louisville, Kentucky	Louisville	River City
Louisville,_Kentucky	Louisville, Kentucky	Louisville	The Ville
Madisonville,_Kentucky	Madisonville, Kentucky	Madisonville	Best Town on Earth 
Middlesboro,_Kentucky	Middlesboro, Kentucky	Middlesboro	The City Built Inside a Meteorite Crater
Monticello,_Kentucky	Monticello, Kentucky	Monticello	Houseboat Capital of the World
Owensboro,_Kentucky	Owensboro, Kentucky	Owensboro	Barbecued Mutton Capital of the World
Paducah,_Kentucky	Paducah, Kentucky	Paducah	Quilt City
Paintsville,_Kentucky	Paintsville, Kentucky	Paintsville	The City Between the Lakes
Pikeville,_Kentucky	Pikeville, Kentucky	Pikeville	The City That Moves Mountains
Renfro_Valley,_Kentucky	Renfro Valley, Kentucky	Renfro Valley	Kentucky's Country Music Capital
Breaux_Bridge,_Louisiana	Breaux Bridge, Louisiana	Breaux Bridge	Crayfish Capital of the World
Des_Allemands,_Louisiana	Des Allemands, Louisiana	Des Allemands	Catfish Capital of the World
Dubach,_Louisiana	Dubach, Louisiana	Dubach	Dogtrot Capital of the World
Gonzales,_Louisiana	Gonzales, Louisiana	Gonzales	Jambalaya Capital of the World
Gueydan,_Louisiana	Gueydan, Louisiana	Gueydan	Duck Capital of America
Jennings,_Louisiana	Jennings, Louisiana	Jennings	Cradle of Louisiana Oil
Lafayette,_Louisiana	Lafayette, Louisiana	Lafayette	The Heart of Acadiana
Lecompte,_Louisiana	Lecompte, Louisiana	Lecompte	Pie Capital of Louisiana
New_Orleans	New Orleans	New Orleans	America's Favorite City
New_Orleans	New Orleans	New Orleans	America's International City
New_Orleans	New Orleans	New Orleans	America's Most Interesting City
New_Orleans	New Orleans	New Orleans	America's Most Unique City
New_Orleans	New Orleans	New Orleans	America’s Most European City
New_Orleans	New Orleans	New Orleans	America's European Masterpiece
New_Orleans	New Orleans	New Orleans	The Big Easy (as referenced in the film The Big Easy)
New_Orleans	New Orleans	New Orleans	Birthplace of Jazz
New_Orleans	New Orleans	New Orleans	City of Festivals
New_Orleans	New Orleans	New Orleans	City of Mystery
New_Orleans	New Orleans	New Orleans	City of the Chefs
New_Orleans	New Orleans	New Orleans	The Crescent City
New_Orleans	New Orleans	New Orleans	The City that Care Forgot
New_Orleans	New Orleans	New Orleans	The Gateway to the Americas
New_Orleans	New Orleans	New Orleans	Mardi Gras City
New_Orleans	New Orleans	New Orleans	Nawlins
New_Orleans	New Orleans	New Orleans	New York of the South
New_Orleans	New Orleans	New Orleans	NOLA
New_Orleans	New Orleans	New Orleans	The Paris of Americas
New_Orleans	New Orleans	New Orleans	Paris of the South
New_Orleans	New Orleans	New Orleans	Queen City of the South
New_Orleans	New Orleans	New Orleans	The Queen of the Mississippi
New_Orleans	New Orleans	New Orleans	Saint City
New_Orleans	New Orleans	New Orleans	Super Bowl City
Ponchatoula,_Louisiana	Ponchatoula, Louisiana	Ponchatoula	Strawberry Capital of the World
Rayne,_Louisiana	Rayne, Louisiana	Rayne	Frog Capital of the World
St._Martinville,_Louisiana	St. Martinville, Louisiana	St. Martinville	Birthplace of Acadiana
Bangor,_Maine	Bangor, Maine	Bangor	The Queen City of the East
Bath,_Maine	Bath, Maine	Bath	The City of Ships
Cherryfield,_Maine	Cherryfield, Maine	Cherryfield	Blueberry Capital of the World
Farmington,_Maine	Farmington, Maine	Farmington	Earmuff Capital of the World
Millinocket,_Maine	Millinocket, Maine	Millinocket	The Magic City 
Portland,_Maine	Portland, Maine	Portland	Forest City (reported in 1894)
Presque_Isle,_Maine	Presque Isle, Maine	Presque Isle	The Star City
Rockland,_Maine	Rockland, Maine	Rockland	Lobster Capital of the World
Strong,_Maine	Strong, Maine	Strong	Toothpick Capital of the World
Waterville,_Maine	Waterville, Maine	Waterville	The Elm City
Waterville,_Maine	Waterville, Maine	Waterville	The University City of Maine
Annapolis,_Maryland	Annapolis, Maryland	Annapolis	Crabtown
Baltimore	Baltimore	Baltimore	America's Comeback City
Baltimore	Baltimore	Baltimore	B-More
Baltimore	Baltimore	Baltimore	Bodymore, Murderland
Baltimore	Baltimore	Baltimore	Charm City
Baltimore	Baltimore	Baltimore	Crab Cake Capital of the World
Baltimore	Baltimore	Baltimore	Harm City
Baltimore	Baltimore	Baltimore	Mobtown
Baltimore	Baltimore	Baltimore	Monument City
Baltimore	Baltimore	Baltimore	The City of Firsts
Baltimore	Baltimore	Baltimore	The City That Reads
Baltimore	Baltimore	Baltimore	The Greatest City in America
Columbia,_Maryland	Columbia, Maryland	Columbia	The Next America
Crisfield,_Maryland	Crisfield, Maryland	Crisfield	Seafood Capital of the World
Cumberland,_Maryland	Cumberland, Maryland	Cumberland	The Queen City
Hagerstown,_Maryland	Hagerstown, Maryland	Hagerstown	Hub City
Hagerstown,_Maryland	Hagerstown, Maryland	Hagerstown	Maryland's Gateway to the West
Takoma_Park,_Maryland	Takoma Park, Maryland	Takoma Park	Azalea City
Anoka,_Minnesota	Anoka, Minnesota	Anoka	Halloween Capital of the World
Austin,_Minnesota	Austin, Minnesota	Austin	Spamtown USA
Belding,_Michigan	Belding, Michigan	Belding	Apple Capital
Bemidji,_Minnesota	Bemidji, Minnesota	Bemidji	First City on the Mississippi
Big_Lake,_Minnesota	Big Lake, Minnesota	Big Lake	BL
Braham,_Minnesota	Braham, Minnesota	Braham	Homemade Pie Capital of Minnesota
Duluth,_Minnesota	Duluth, Minnesota	Duluth	The Zenith City
Duluth,_Minnesota	Duluth, Minnesota	Duluth	The Twin Ports (with Superior, Wisconsin)
Elk_River,_Minnesota	Elk River, Minnesota	Elk River	Where City and Country Flow Together
Hanover,_Minnesota	Hanover, Minnesota	Hanover	The Little City on the Crow
International_Falls,_Minnesota	International Falls, Minnesota	International Falls	The Icebox of the United States
Lake_Benton,_Minnesota	Lake Benton, Minnesota	Lake Benton	Windpower Capital
Madison,_Minnesota	Madison, Minnesota	Madison	
Minneapolis,_Minnesota	Minneapolis, Minnesota	Minneapolis	City of Flour and Sawdust (reported in 1883)
Minneapolis,_Minnesota	Minneapolis, Minnesota	Minneapolis	City of Lakes
Minneapolis,_Minnesota	Minneapolis, Minnesota	Minneapolis	Mill City
